PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_TM,PMNTN_RISK,PMNTN_RECO
30120,491102303,상가임도숲길,상가리구간,,1.01,1,30,,
789,491300704,각시바위,호근동구간,,0.83,1,30,,
46293,468002101,제암산,금산리구간,,1.01,1,30,,
33890,468402101,승달산,도림리구간,,1.01,1,30,,
638,468000101,가지산,봉덕리구간,,0.70,2,30,,
40833,468702304,우산공원,우산공원 입구-국제아파트 입구구간,,1.01,1,30,,
28273,467902201,비봉산,능주향교구간,,1.01,1,30,,
23025,468801301,병풍산,,,1.01,1,30,,
15154,291101901,마집봉,소태동구간,,0.70,2,30,,
7118,291550301,금당산,진월동구간,,1.01,1,30,,
50715,467202101,최악산,,,1.00,1,30,,
21067,467901901,백아산,노기리구간,,0.82,1,30,,
14929,462300601,마로산,죽림리구간,,0.94,1,30,,
14040,467200103,동악산둘레길,학정리구간,,1.00,1,30,,
289,462300101,가야산,마동구간,,0.83,1,30,,
8958,461500401,깃대봉,가곡동구간,,1.00,1,30,,
39649,482401401,와룡산,,,1.00,1,30,,
45777,481502401,적석산,,,1.00,1,30,,
42375,481702601,월아산_월아봉,용아리구간,,1.01,1,30,,
33681,481101304,수정리야산,수정리구간,,0.83,1,30,,
17985,481500901,무학산,두척동구간,,1.00,1,30,,
5053,481500301,광려산,,,1.00,1,30,,
50874,467101801,추월산,추성리구간,,0.94,1,30,,
39319,457102301,옥녀봉,죽림리구간,,1.01,1,30,,
39321,457102301,옥녀봉,공기마을 초입구간,숲체험교실,1.00,1,30,,
15028,457200901,마이산,동촌리구간,,0.82,1,30,,
53976,451103101,행치봉,우아동1가구간,,1.01,1,30,,
33916,488702401,승안산,임도구간,,1.00,1,30,,
29829,488703601,삼정산,,,1.00,1,30,,
56661,488703501,황석산,월림리구간,,1.00,1,30,,
54191,488805301,현성산,모리재길구간,,1.01,1,30,,
15966,488805901,망설봉,둔동길구간,,1.01,1,30,,
1183,488800101,감악산,세안길구간,,1.00,1,30,,
1202,488800101,감악산,물맞이길구간,,0.70,2,30,,
6286,487400501,구현산,옥천리구간,,0.94,1,30,,
909,488900101,갈마산,,,0.82,1,30,,
39377,483104301,옥녀봉,,,1.00,1,30,,
39378,483104301,옥녀봉,,,0.94,1,30,,
36717,483104201,앵산,,,0.59,2,30,,
2590,483100401,계룡산,,,1.00,1,30,,
36443,272000301,앞산,대명동구간,,1.00,1,30,,
29050,272000201,산성산,,,0.94,1,30,,
11037,272600201,대덕산,,,1.00,1,30,,
41671,481901001,웅산,,,1.01,1,30,,
7951,482504901,금음산,,,1.00,1,30,,
21243,265300101,백양산,,,1.01,1,30,,
5358,261400101,구덕산,괴정동구간,,1.00,1,30,,
34751,482502701,신어산,,,1.01,1,30,,
5434,261400101,구덕산,범일동구간,,0.94,1,30,,
8091,264100101,금정산,,,1.01,1,30,,
8189,264100101,금정산,,,1.00,1,30,,
49034,483302201,천태산,,,1.00,1,30,,
39282,482703301,옥교산,,,1.00,1,30,,
43040,264100201,윤산,회동동구간,,0.95,1,30,,
1476,267100201,개좌산,,,1.00,1,30,,
1895,267100301,거문산,와여리구간,,1.00,1,30,,
45568,482704101,재약산,구천리구간,,1.01,1,30,,
45605,482704101,재약산,,,1.00,1,30,,
45439,482505101,장척산,,,1.00,1,30,,
38276,483301301,영축산,,,1.00,1,30,,
8189,264100101,금정산,,,1.00,1,30,,
8264,264100101,금정산,,,1.01,1,30,,
10660,267100401,달음산,달산리구간,,1.01,1,30,정상 부근이 암봉으로 이루어져 있어 눈.비 올때 낙상 주의,
34373,317102401,신불산,등억알프스리구간,,1.01,1,30,,
48592,483302101,천성산,,,1.00,1,30,,
48629,483302101,천성산,,,1.01,1,30,,
38277,483301301,영축산,지산리구간,,0.95,1,30,,
11800,483300501,대운산,,,1.00,1,30,,
49162,267101601,철마산,임곡리구간,,1.01,1,30,,
10688,267100401,달음산,화전리구간,,1.00,1,30,정상 부근이 암봉으로 이루어져 있어 눈.비 올때 낙상 주의,
34393,317102401,신불산,,,1.01,1,30,,
18184,317101801,문수산,율리구간,,1.01,1,30,,
32126,272600501,성암산,파동구간,,0.71,2,30,,
31486,478201801,선의산,원리구간,,0.71,2,30,,
31491,478201801,선의산,원리구간,,0.71,2,30,,
55282,472901601,환성산,용계동구간,,1.00,1,30,,
33029,471305801,송화산,충효동구간,,1.01,1,30,,
28634,472301601,사룡산,감산리구간,,0.82,1,30,,
39213,451302701,오성산,성덕리구간,,1.01,1,30,,
16205,451302101,망해산,주곡리구간,,1.01,1,30,,
3676,451304601,고봉리산,고봉리구간,,1.00,1,30,,
48192,447702201,천방산,금덕리구간,,1.00,1,30,,
9495,447700301,남산,남산리구간,,1.01,1,30,,
11688,457104204,대아수목원,대아리구간,,1.00,1,30,,
11552,457100501,대부산,수만리구간,,1.00,1,30,"암석, 미끄러움 주의",
39303,441507001,옥녀봉,대학리구간,,1.01,1,30,,
39155,441803404,오서산성동,장현리구간,,1.01,1,30,,
32384,447602301,성태산,,,1.01,1,30,,
31411,447101501,선야봉,,,1.00,1,30,,
18123,447900901,문박산,중묵리구간,,1.01,1,30,,
6566,441505001,국사봉매봉,삼각리구간,,1.00,1,30,,
48339,301400601,천비산,지량리구간,,1.00,1,30,,
48339,301400601,천비산,지량리구간,,1.00,1,30,,
54138,442500501,향적산,,,1.00,1,30,,
51473,441503701,태수산,태봉동구간,,1.01,1,30,,
25876,448000801,봉화산,신송리구간,,1.01,1,30,,
12347,448100301,덕산_가야산,대곡리구간,,1.01,1,30,,
51610,441303501,태화산,세출리구간,,1.00,1,30,,
43432,448301401,은봉산,수당리구간,,1.01,1,30,,
4973,442000401,광덕산,,,1.00,1,30,,
38745,447301401,오봉산,봉산리구간,능선나지화,1.00,1,30,,
25735,415901101,봉화산,상안리구간,,1.01,1,30,,
43536,431104201,은적산,궁현리구간,,1.00,1,30,,
6430,431105001,국사봉,가락리구간,,1.01,1,30,,
4773,411170201,광교산,,,1.00,1,30,,
53944,412700301,항가울산,사동구간,,1.00,1,30,,
37440,413700801,여계산,,,1.01,1,30,,
52831,414600103,한남정맥,,,1.01,1,30,,
51386,414603301,태봉산,,,1.01,1,30,,
46007,416102101,정광산,,,1.00,1,30,,
43473,414604501,은이산,사암리구간,,1.01,1,30,,
43501,414604501,은이산,,,1.00,1,30,,
13907,415003401,동맥이산,평창리구간,,0.83,1,30,,
28988,301102704,산내초교뒷산,낭월동임도구간,,1.01,1,30,"독사,급경사",
48943,437403501,천태산,누교리구간,,1.00,1,30,,
10628,471501001,달봉산,신음동구간,,0.82,1,30,,
56791,437403701,황학산,,,1.00,1,30,,
56993,301106104,116고지,주산동-추동리 버스승강장구간,,1.00,1,30,,
7966,437200701,금적산,서원리구간,,0.82,1,30,,
43870,437450301,이성산,화성리구간,,1.00,1,30,,
34557,437603801,신성봉,계원리구간,,0.95,1,30,,
26461,431102501,부모산,비하동구간,,1.01,1,30,,
21816,471905301,백운봉,남통동구간,,1.01,1,30,급경사 1개소(할딱고개) 있으니 주의 필요함,
22733,431504701,벼락바위봉,운학리구간,,1.01,1,30,,
22733,431504701,벼락바위봉,운학리구간,,1.01,1,30,,
48350,471903601,천생산,구평동구간,,1.00,1,30,,
45883,471903101,접성산,대망리구간,,1.01,1,30,,
42952,478502801,유학산,,,1.00,1,30,,
